商品编号	商品名称	品牌编号	品牌英文名称	品牌中文名称	商品性别	商品商城分类编号	商品商城分类名称
30014653	单肩荷叶边系带连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014652	单肩荷叶边系带连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014651	单肩荷叶边系带连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014650	水绒花边外套	B0617	OASIS	奥时裳	0	A01B02C86D01	运动&套装
30014649	水绒花边外套	B0617	OASIS	奥时裳	0	A01B02C86D01	运动&套装
30014648	垂领中袖针织上衣	B0617	OASIS	奥时裳	0	A01B02C71D01	针织毛衣
30014647	蝴蝶袖V领连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014646	蝴蝶袖V领连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014645	扇子印花吊带裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014644	腰部塔克吊脖连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014643	腰部塔克吊脖连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014642	腰部塔克吊脖连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014641	腰部塔克吊脖连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014640	V领分割连衣裙	B0617	OASIS	奥时裳	0	A01B02C39D01	连衣裙
30014639	合体系腰带大衣	B0617	OASIS	奥时裳	0	A01B02C81D01	大衣
30014638	合体系腰带大衣	B0617	OASIS	奥时裳	0	A01B02C81D01	大衣
30014637	撞色腰长裤	B0617	OASIS	奥时裳	0	A01B02C86D01	运动&套装
30014636	V领条纹套衫	B0617	OASIS	奥时裳	0	A01B02C71D01	针织毛衣
30014635	撞色连帽羽绒	B0617	OASIS	奥时裳	0	A01B02C84D01	羽绒服
30014634	镂空翻领夹克	B0617	OASIS	奥时裳	0	A01B02C85D01	夹克
30014633	前胸拐花套头毛衫	B0617	OASIS	奥时裳	0	A01B02C71D01	针织毛衣
